Ward,RequestType,CrimeType,Correlation,UselessData
38,1,1,0.548748114,-0.050130271
38,1,9,0.499151155,-0.069768214
38,1,6,0.807295288,0.05224162
38,1,5,0.409967949,-0.105080351
38,1,7,0.673533448,-0.000721452
38,1,8,0.672984194,-0.000938929
39,1,2,0.599584584,-0.030001544
39,1,3,0.608810332,-0.026348604
39,1,4,0.549932049,-0.049661491
39,1,1,0.509601446,-0.065630415
39,1,9,0.526600724,-0.058899542
39,1,6,0.792117268,0.046231875
39,1,5,0.4785305,-0.077932973
39,1,7,0.680508432,0.002040297
39,1,8,0.628477166,-0.01856151
40,1,2,0.57946662,-0.037967262
40,1,3,0.525709019,-0.059252613
40,1,4,0.659562022,-0.006253445
40,1,1,0.48525329,-0.07527108
40,1,9,0.626451085,-0.019363738
40,1,6,0.824384456,0.059008085
40,1,5,0.474817941,-0.079402962
40,1,7,0.656409807,-0.007501567
40,1,8,0.620105769,-0.02187617
41,1,2,0.400535614,-0.108815089
41,1,3,1,0.128543154
41,1,4,0.457878153,-0.086110281
41,1,1,0.411122672,-0.104623138
41,1,9,0.753954771,0.031121414
41,1,6,0.74992325,0.029525131
41,1,5,0.329325155,-0.137010909
41,1,7,0.677526209,0.000859484
41,1,8,0.63608102,-0.015550761
42,1,2,0.46706708,-0.08247192
42,1,3,0.603147199,-0.028590924
42,1,4,0.427078205,-0.098305537
42,1,1,0.633909709,-0.016410492
42,1,9,0.534856267,-0.055630755
42,1,6,0.926433235,0.099414354
42,1,5,0.471738234,-0.080622374
42,1,7,0.682176505,0.002700771
42,1,8,0.680406766,0.002000042
43,1,2,0.423326439,-0.09979105
43,1,3,0.543691115,-0.052132593
43,1,4,0.433964536,-0.09557889
43,1,1,0.410688513,-0.104795044
43,1,9,0.627359325,-0.01900412
43,1,6,0.671696697,-0.001448714
43,1,5,0.35305697,-0.127614284
43,1,7,0.627022677,-0.019137416
43,1,8,0.670338471,-0.001986504
44,1,2,0.586601233,-0.035142309
44,1,3,0.596251257,-0.031321377
44,1,4,0.439850804,-0.093248219
44,1,1,0.501475575,-0.068847858
44,1,9,0.666431143,-0.003533613
44,1,6,0.540799661,-0.053277465
44,1,5,0.546872803,-0.050872801
44,1,7,0.6377521,-0.014889095
44,1,8,0.66019047,-0.006004611
45,1,2,0.438090346,-0.093945273
45,1,3,0.550528612,-0.049425282
45,1,4,0.319695587,-0.140823741
45,1,1,0.573335012,-0.040395076
45,1,9,0.620245806,-0.021820722
45,1,6,0.753042872,0.030760347
45,1,5,0.256968013,-0.165660758
45,1,7,0.626440395,-0.019367971
45,1,8,0.541978954,-0.052810524
46,1,2,0.385832941,-0.114636621
46,1,3,0.337642316,-0.133717725
46,1,4,0.308191758,-0.145378689
46,1,1,0.414695666,-0.103208409
46,1,9,0.566776145,-0.042992063
46,1,6,0.681363151,0.002378723
46,1,5,0.488962497,-0.073802418
46,1,7,0.604047621,-0.028234402
46,1,8,0.629756061,-0.018055131
47,1,2,0.278079915,-0.157301489
47,1,3,0.486466188,-0.074790833
47,1,4,0.278398833,-0.157175213
47,1,1,0.298308866,-0.149291825
47,1,9,0.535734929,-0.055282849
47,1,6,0.750423614,0.02972325
47,1,5,0.241985971,-0.171592905
47,1,7,0.632299724,-0.017047967
47,1,8,0.641042016,-0.013586452
48,1,2,0.710505065,0.01391748
48,1,3,0.601398457,-0.02928334
48,1,4,0.538357502,-0.054244439
48,1,1,0.502442459,-0.06846502
48,1,9,0.602405361,-0.028884656
48,1,6,0.758399554,0.032881328
48,1,5,0.612204197,-0.025004801
48,1,7,0.700081161,0.009790129
48,1,8,0.672632642,-0.001078126
49,1,2,0.550841838,-0.04930126
49,1,3,0.420389531,-0.10095392
49,1,4,0.523607477,-0.06008472
49,1,1,0.535922643,-0.055208523
49,1,9,0.622567813,-0.020901322
49,1,6,0.734725777,0.023507684
49,1,5,0.404815367,-0.107120519
49,1,7,0.679030481,0.001455101
49,1,8,0.65281977,-0.008923044
50,1,2,0.6825647,0.002854477
50,1,3,0.656420007,-0.007497528
50,1,4,0.556800237,-0.046942029
50,1,1,0.559107453,-0.046028485
50,1,9,0.61810472,-0.022668486
50,1,6,0.80129273,0.049864904
50,1,5,0.446283972,-0.090701003
50,1,7,0.730573014,0.021863395
50,1,8,0.775965908,0.039836736
1,2,2,4.50E-01,-1.23E-07
1,2,3,5.00E-01,0.012545847
1,2,4,2.66E-01,-0.046460595
1,2,1,5.43E-01,0.023593261
1,2,9,4.06E-01,-0.011114933
1,2,6,5.35E-01,0.021597494
1,2,5,5.23E-01,0.018557291
1,2,7,5.29E-01,0.019873779
1,2,8,4.22E-01,-0.007063852
2,2,2,6.40E-01,0.048083127
2,2,3,7.85E-01,0.084673725
2,2,4,4.12E-01,-0.009503307
2,2,1,7.23E-01,0.068988556
2,2,9,7.41E-01,0.073653175
2,2,6,5.61E-01,0.028070299
2,2,5,4.25E-01,-0.006300056
2,2,7,3.66E-01,-0.021166825
2,2,8,5.71E-01,0.030618793
3,2,2,5.36E-01,0.021789964
3,2,3,6.60E-01,0.053017007
3,2,4,4.96E-01,0.011624099
3,2,1,6.94E-01,0.061806705
3,2,9,4.39E-01,-0.002708056
3,2,6,5.01E-01,0.012963689
3,2,5,6.28E-01,0.045129934
3,2,7,4.54E-01,0.001116636
3,2,8,3.27E-01,-0.030994484
4,2,2,4.25E-01,-0.006207772
4,2,3,2.99E-01,-0.038154783
4,2,4,3.94E-01,-0.014235025
4,2,1,6.44E-01,0.049084908
4,2,9,4.31E-01,-0.004853444
4,2,6,7.42E-01,0.073971963
4,2,5,5.12E-01,0.01560433
4,2,7,7.50E-01,0.075906674
4,2,8,4.19E-01,-0.007699105
5,2,2,4.53E-01,0.000782497
5,2,3,5.31E-01,0.020480179
5,2,4,2.97E-01,-0.038715532
5,2,1,7.03E-01,0.063906618
5,2,9,4.76E-01,0.006500263
5,2,6,7.92E-01,0.086382508
5,2,5,4.94E-01,0.01113453
5,2,7,3.60E-01,-0.022650529
5,2,8,5.75E-01,0.031720318
6,2,2,7.34E-01,0.071845325
6,2,3,6.89E-01,0.060525176
6,2,4,5.25E-01,0.019054606
6,2,1,9.39E-01,0.123741615
6,2,9,7.12E-01,0.06626593
6,2,6,4.48E-01,-0.000411386
6,2,5,3.76E-01,-0.018561368
6,2,7,5.01E-01,0.012993459
6,2,8,4.67E-01,0.004321384
7,2,2,6.32E-01,0.04601306
7,2,3,4.29E-01,-0.005295158
7,2,4,3.83E-01,-0.016838549
7,2,1,8.99E-01,0.113629488
7,2,9,7.17E-01,0.067489169
7,2,6,7.74E-01,0.082063227
7,2,5,4.71E-01,0.005334354
7,2,7,3.91E-01,-0.014848461
7,2,8,3.53E-01,-0.024383489
8,2,2,6.35E-01,0.046899105
8,2,3,5.72E-01,0.030955911
8,2,4,4.80E-01,0.007702127
8,2,1,7.47E-01,0.075132069
8,2,9,4.23E-01,-0.006789389
8,2,6,6.75E-01,0.056856578
8,2,5,4.41E-01,-0.002287121
8,2,7,3.77E-01,-0.01841628
8,2,8,5.15E-01,0.016555519
9,2,2,5.65E-01,0.029028643
9,2,3,4.38E-01,-0.003060021
9,2,4,6.13E-01,0.041196332
9,2,1,6.53E-01,0.051416453
9,2,9,4.49E-01,-0.000104137
9,2,6,7.03E-01,0.064075142
9,2,5,3.63E-01,-0.021933765
9,2,7,3.38E-01,-0.028228879
9,2,8,3.64E-01,-0.02173032
10,2,2,2.53E-01,-0.049848961
10,2,3,1.25E-01,-0.082194171
10,2,4,1.04E-01,-0.087349543
10,2,1,3.35E-01,-0.028945787
10,2,9,1.74E-01,-0.06980892
10,2,6,6.41E-01,0.04838489
10,2,5,0.00E+00,-0.113737967
10,2,7,3.14E-01,-0.034352464
10,2,8,3.32E-01,-0.029777788
11,2,2,5.36E-01,0.021655565
11,2,3,8.52E-01,0.101630012
11,2,4,3.96E-01,-0.013676405
11,2,1,7.35E-01,0.072186046
11,2,9,5.47E-01,0.024553827
11,2,6,7.82E-01,0.083847588
11,2,5,5.01E-01,0.012967493
11,2,7,2.97E-01,-0.038753623
11,2,8,5.03E-01,0.013429423
12,2,2,5.52E-01,0.025933753
12,2,3,3.56E-01,-0.023614968
12,2,4,1.73E-01,-0.070002421
12,2,1,3.96E-01,-0.013699066
12,2,9,5.62E-01,0.028374328
12,2,6,6.23E-01,0.04374366
12,2,5,4.88E-01,0.009638937
12,2,7,4.81E-01,0.007788278
12,2,8,3.78E-01,-0.018151911
13,2,2,5.02E-01,0.013210977
13,2,3,5.61E-01,0.028121584
13,2,4,3.18E-01,-0.033401431
13,2,1,6.26E-01,0.044434374
13,2,9,4.60E-01,0.00257352
13,2,6,5.79E-01,0.032613039
13,2,5,3.47E-01,-0.026026448
13,2,7,3.96E-01,-0.013533331
13,2,8,3.67E-01,-0.020946621
14,2,2,7.56E-01,0.077362262
14,2,3,7.08E-01,0.065285888
14,2,4,4.87E-01,0.009311836
14,2,1,6.64E-01,0.054135443
14,2,9,7.17E-01,0.067626228
14,2,6,3.95E-01,-0.013755465
14,2,5,6.04E-01,0.039050845
14,2,7,4.11E-01,-0.009941776
14,2,8,4.25E-01,-0.006344756
15,2,2,8.95E-01,0.112494142
15,2,3,8.36E-01,0.097671504
15,2,4,7.04E-01,0.064231742
15,2,1,8.21E-01,0.093790059
15,2,9,5.29E-01,0.019899147
15,2,6,7.55E-01,0.077106508
15,2,5,6.89E-01,0.060529525
15,2,7,4.91E-01,0.010282701
15,2,8,5.51E-01,0.025663234
16,2,2,6.64E-01,0.054218592
16,2,3,3.93E-01,-0.014483282
16,2,4,5.90E-01,0.035525628
16,2,1,6.05E-01,0.039279367
16,2,9,5.05E-01,0.013866641
16,2,6,4.93E-01,0.011001643
16,2,5,4.32E-01,-0.00454379
16,2,7,4.07E-01,-0.010755596
16,2,8,5.20E-01,0.017745454
17,2,2,7.12E-01,0.066347986
17,2,3,6.92E-01,0.061324084
17,2,4,4.28E-01,-0.005573657
17,2,1,7.90E-01,0.085894206
17,2,9,6.73E-01,0.056433571
