day,month,hour,dayofweek,ward,hour_slot,theft,other_offenses,child_offense,sexual_crime,vehicle_theft,deceptive_practice,assault,narcotics,criminal_damage
4,6,12,4,15,3,0.016911776716053283,0.036109716863464154,0.0013399149513386058,0.04234677602664261,0.09334548686873592,0.04474123957656912,0.05417256330949878,0.5629358803566997,0.14809664533099828
1,1,0,3,30,0,0.0011304763773799852,0.36927319716728896,0.001707743952224114,0.01682206626189166,0.00014944971029201996,0.005866751472578031,0.11978146368989624,0.4850715426685701,0.00019730869987727556
1,1,0,3,14,0,0.0011338486325371735,0.36468605295690487,0.001973614368604351,0.01716792165081682,0.0006748445219299797,0.007550530203865168,0.12022178403210222,0.48540167019408537,0.0011897334391551672
23,5,10,6,34,2,0.056595830626721785,0.010443327957641524,0.001295310608396593,0.16470984426156865,0.017595320946147415,0.09821685107528687,0.03947009368447329,0.6116582585362734,1.5162303492209042e-05
1,12,0,0,31,0,0.00023538841542683185,0.208419400667215,0.003574261629805317,0.05333584447895541,0.0010442768944983905,0.013007175648353488,0.05632263379962991,0.6640610045170975,1.394901739916336e-08
1,1,1,1,35,0,0.0014041061563483466,0.36486638399996085,0.003018893808720843,0.022194634477212673,4.5461182903043206e-05,0.005027466040512005,0.10022546164241658,0.5032174138805805,1.78811345288683e-07
19,12,4,6,17,1,0.0019116556326075887,0.02183758817642208,0.0025711430191890238,0.12446901076540579,0.0855174293564859,0.07445220772940239,0.03424786896372309,0.6547841674663748,0.000208928890387935
1,9,0,0,24,0,0.0006920109087492197,0.2828234429125522,0.002746157769270128,0.04753921962189718,0.002347442311012911,0.01215566574720219,0.06395156791490653,0.5877444418834153,5.0930994703495246e-08
3,8,12,5,7,3,0.01580232272065921,0.02509324722115406,0.001191471424842045,0.06506224388436475,0.09616398953418405,0.08060778005435514,0.05133248618651945,0.655691107024329,0.009055351949592703
1,1,0,3,18,0,0.0010541837753434134,0.38170350684121085,0.001835732761411233,0.016085390623029442,0.0006158885844079068,0.006734926076645972,0.11853566798162431,0.4720596686880116,0.0013750346683150253
1,3,9,5,45,2,0.017115073856159017,0.05233691283628284,0.0032218634041707396,0.06430848878506933,3.3496300564793905e-05,0.022461932240793486,0.06808538535056946,0.7724360582389355,7.889874550777054e-07
4,7,0,6,17,0,0.0020657143612029844,0.20775873370532366,0.000657266108279432,0.04959053044737155,0.00552946205259671,0.026547947116668656,0.09821156142571921,0.6096232447137251,1.5540069114373608e-05
